 format: day,hour,forecast,value  location:53_114 Start : 20170101 
 26,2300,+10,3.000000 
 27,0200,+4,0.000000 
 27,0200,+7,7.000000 
 27,0200,+10,3.000000 
 27,0500,+4,7.000000 
 27,0500,+7,3.000000 
 27,0800,+4,5.000000 
 27,0800,+7,2.000000 
 27,1100,+4,5.000000 
 27,1100,+7,2.000000 
 27,1400,+4,5.000000 
 27,1400,+7,2.000000 
 27,1700,+4,5.000000 
 27,1700,+7,2.000000 
 27,2000,+4,4.000000 
 27,2000,+7,3.000000 
 27,2000,+10,-2.000000 
 27,2300,+4,4.000000 
 27,2300,+7,3.000000 
 27,2300,+10,-2.000000 
 28,0200,+4,4.000000 
 28,0200,+7,3.000000 
 28,0200,+10,-2.000000 
 28,0500,+4,3.000000 
 28,0500,+7,-2.000000 
 28,0800,+4,3.000000 
 28,0800,+7,-2.000000 
 28,1100,+4,3.000000 
 28,1100,+7,-2.000000 
 28,1400,+4,3.000000 
 28,1400,+7,-2.000000 
 28,1700,+4,3.000000 
 28,1700,+7,-2.000000 
 28,2000,+4,2.000000 
 28,2000,+7,-2.000000 
 28,2000,+10,-2.000000 
 28,2300,+4,2.000000 
 28,2300,+7,-2.000000 
 28,2300,+10,-2.000000 
 29,0200,+4,2.000000 
 29,0200,+7,-2.000000 
 29,0200,+10,-2.000000 
 29,0500,+4,-2.000000 
 29,0500,+7,-2.000000 
 29,0800,+4,-2.000000 
 29,0800,+7,-1.000000 
 29,1100,+4,-2.000000 
 29,1100,+7,-1.000000 
 29,1400,+4,-2.000000 
 29,1400,+7,-1.000000 
 29,1700,+4,-2.000000 
 29,1700,+7,-1.000000 
 29,2000,+4,-2.000000 
 29,2000,+7,-1.000000 
 29,2000,+10,1.000000 
 29,2300,+4,-2.000000 
 29,2300,+7,-1.000000 
 29,2300,+10,1.000000 
 30,0200,+4,-2.000000 
 30,0200,+7,-1.000000 
 30,0200,+10,1.000000 
 30,0500,+4,-1.000000 
 30,0500,+7,1.000000 
 30,0800,+4,-1.000000 
 30,0800,+7,1.000000 
 30,1100,+4,-1.000000 
 30,1100,+7,1.000000 
 30,1400,+4,-1.000000 
 30,1400,+7,1.000000 
 30,1700,+4,-1.000000 
 30,1700,+7,1.000000 
 30,2000,+4,-1.000000 
 30,2000,+7,0.000000 
 30,2000,+10,3.000000 
 30,2300,+4,-1.000000 
 30,2300,+7,0.000000 
 30,2300,+10,3.000000 
 31,0200,+4,-1.000000 
 31,0200,+7,0.000000 
 31,0200,+10,3.000000 
 31,0500,+4,0.000000 
 31,0500,+7,3.000000 
 31,0800,+4,0.000000 
 31,0800,+7,3.000000 
 31,1100,+4,0.000000 
 31,1100,+7,3.000000 
 31,1400,+4,0.000000 
 31,1400,+7,3.000000 
 31,1700,+4,0.000000 
 31,1700,+7,3.000000 
 31,2000,+4,0.000000 
 31,2000,+7,4.000000 
 31,2000,+10,5.000000 
 31,2300,+4,0.000000 
 31,2300,+7,4.000000 
 31,2300,+10,5.000000 
 Start : 20170201 
 1,0200,+4,0.000000 
 1,0200,+7,4.000000 
 1,0200,+10,5.000000 
 1,0500,+4,4.000000 
 1,0500,+7,5.000000 
 1,0800,+4,4.000000 
 1,0800,+7,6.000000 
 1,1100,+4,4.000000 
 1,1100,+7,6.000000 
 1,1400,+4,4.000000 
 1,1400,+7,6.000000 
 1,1700,+4,4.000000 
 1,1700,+7,6.000000 
 1,2000,+4,4.000000 
 1,2000,+7,6.000000 
 1,2000,+10,5.000000 
 1,2300,+4,4.000000 
 1,2300,+7,6.000000 
 1,2300,+10,5.000000 
 2,0200,+4,4.000000 
 2,0200,+7,6.000000 
 2,0200,+10,5.000000 
 2,0500,+4,6.000000 
 2,0500,+7,5.000000 
 2,0800,+4,6.000000 
 2,0800,+7,5.000000 
 2,1100,+4,6.000000 
 2,1100,+7,5.000000 
 2,1400,+4,6.000000 
 2,1400,+7,5.000000 
 2,1700,+4,6.000000 
 2,1700,+7,5.000000 
 2,2000,+4,6.000000 
 2,2000,+7,6.000000 
 2,2000,+10,4.000000 
 2,2300,+4,6.000000 
 2,2300,+7,6.000000 
 2,2300,+10,4.000000 
 3,0200,+4,6.000000 
 3,0200,+7,6.000000 
 3,0200,+10,4.000000 
 3,0500,+4,6.000000 
 3,0500,+7,4.000000 
